B1_sleep_hours,B2_study_consistency,B3_social_activity_freq,B4_screen_time_hours,B5_routine_irregularity,stress_level
6.479450941329662,4.206855633336396,4.549390825625695,3.160645101022916,2.722179392350587,low
4.743527984428192,1.0058470191591664,1.7386059863533085,9.013103728816333,3.465692539821643,high
7.027434388829211,3.635326742445025,5.0,3.1843118906523764,1.2426064997216524,low
6.411086614769033,2.6223933093992975,3.586166241309077,7.672894941439154,3.133189666605763,moderate
8.020474230259762,4.565256883334664,4.367155162700261,4.539162366100584,2.731128072073493,low
4.197286714735017,2.6420822308605025,2.0208105030068957,8.761372475326487,3.584871213434875,high
7.762396386971288,3.1350227642147233,2.925050551051717,2.2300627389948353,1.091112559242708,low
7.847538914836686,3.310688761534308,3.9904472457432925,2.0182242957062257,1.0919995329196448,low
6.7644381711987105,4.714076389539916,3.5002876231744615,3.7677464220873995,1.575033186090519,low
7.124478127837821,4.463781963610196,4.553561204825292,1.8148770822911011,1.0041623380088707,low
9.831089972805863,4.4567342644169505,2.4269120112614013,4.312881642430763,1.6717172651457055,low
5.190614885051991,2.761851695257325,2.7764775920307003,6.006919718587211,3.6338313516185297,moderate
5.847146232875826,2.593281536447086,1.1507502256114495,9.77350139380528,4.02064793224684,high
6.681202005902508,4.255275995060465,3.9326747441536676,3.9078504334312445,1.3436946911571812,low
5.893934174847924,1.0,2.000918706134579,9.910334257373652,4.322727996693759,high
5.039165104092429,3.1170623838857328,1.4274080810713272,4.336654165311932,3.384437466121752,moderate
7.3746896818735275,4.863596021944379,3.1041113296519858,5.234151148311841,2.547380976103124,low
6.733298341829725,1.847097281670817,2.8601954365233375,5.722064079595057,3.405587313484154,moderate
7.018676703105719,2.4545382668379867,2.2787636504930058,8.626831608408581,2.627507168591647,moderate
7.130118565868346,3.706649989625808,4.3374467848678675,2.609369487203076,2.1972489207490518,low
6.438885825808349,4.021605982381419,3.5954741243456407,3.1739907395752494,3.137839104845729,low
7.528586173599571,1.827907902128845,1.1454329652746518,9.25813059089512,4.973070490590753,high
4.9386719929339815,1.0,3.17589094542214,11.414604590379216,4.221763456648282,high
5.384620332477272,3.248769771016022,3.0268624556240327,6.133214077234104,2.7225961766872278,moderate
6.554608207933178,4.149866926041247,1.3616670846272942,4.739781848939793,3.014669233151872,moderate
7.1546952274528826,2.2138219501407366,2.2963629178150167,7.065146026177671,3.6117065505987775,moderate
9.21331808069637,5.0,5.0,3.5072200165232856,1.4702684273219504,low
5.467153590286519,1.5990407776358357,1.51717175483108,9.822652068215168,4.790842055964691,high
4.195337034214915,1.1882492950995343,1.0558378089424596,8.49368743210756,5.0,high
5.736109014151316,3.0779579124996443,3.598177296660996,7.998564817467143,2.2362285427561606,moderate
7.3094610048202675,4.157591771008757,3.3125864061187897,2.0755154883507556,2.3777763439496686,low
7.204587041781016,1.9417945692169205,1.480701038212677,10.885307205087711,4.806363442534933,high
6.094622574017134,4.344995831892503,4.335212876964323,5.281902544080621,2.227186213794631,low
6.178417240141071,2.7039190745076747,1.713244768689962,4.7178878563284234,3.5218054540166945,moderate
4.289958277220865,2.3178904432224834,2.1170550965220203,9.109426050364638,5.0,high
4.028541236600313,1.43505123168053,2.7841128620882025,9.973760943397233,4.067862069609248,high
7.376376414344958,4.650521393238756,3.5662338461099705,2.8142609369639153,2.2695352954290957,low
6.910860651538051,3.280691869745794,2.768503354649895,3.517308222529835,3.8302322167157996,moderate
5.618461082876265,2.7578447288883994,2.045707069792872,6.704853871441533,3.5884039765964557,moderate
7.23270124743935,4.479048125700184,4.152061836367367,4.508264195233037,2.1079198866463087,low
